a concept,แนวคิด
a context,บริบท
a part,ห่างกัน
a part of,ส่วนหนึ่งของ
abbraviate,กอด
abbrecai,ทำแท้ง
abbreviate,ย่อ
abduct,การลักพาตัว
abolish,ยกเลิก
abortion,การทำแท้ง
absorb,ดูดซับ
abstain,งดเว้น
abstract,เชิงนามธรรม
abuse,ใช้ในทางที่ผิด
accelerate,เร่งความเร็ว
accent,สำเนียง
access rights,สิทธิ์ในการเข้าถึง
accident,อุบัติเหตุ
accuse,กล่าวโทษ
actual,แท้จริง
acute,เฉียบพลัน
addicted,ติดยาเสพติด
address,ที่อยู่
adhere,ยึดติด
adjacent,ใกล้เคียง
admirable,น่าชื่นชม
adorable,น่ารัก
adore,รัก
advice,คำแนะนำ
advise,ให้คำแนะนำ
advocates,ผู้สนับสนุน
aerial,ทางอากาศ
aesthetic,เกี่ยวกับความงาม
afddasfdaf,เหลือเชื่อ
affair,ธุระ
aggressive,ก้าวร้าว
aid,การช่วยเหลือ
air filter,ตัวกรองอากาศ
align,จัดแนว
aliment,การเสริมกำลัง
allergic,แพ้
alleviate,บรรเทา
alternative,ทางเลือก
ambigo,ทำให้เบาบางลง
amends,แก้ไข
analogous,คล้ายคลึงกัน
analogy,การเปรียบเทียบ
analysis,การวิเคราะห์
announce,ประกาศ
answer,คำตอบ
answer paper,ตอบกระดาษ
answer sheet,แผ่นคำตอบ
anticipated,ที่คาดไว้
anxiety,ความวิตกกังวล
apart,ห่างกัน
applause,เสียงปรบมือ
approach,เข้าใกล้
approaches,วิธีการ
appropriate,เหมาะสม
appropriately,เหมาะสม
approval,การอนุมัติ
aptitude,ความถนัด
architect,สถาปนิก
archive,คลังเก็บเอกสารสำคัญ
armed,ติดอาวุธ
arouse,กระตุ้น
ash,เถ้า
aside,นอกเหนือจาก
aspects,แง่มุม
aspiration,ความทะเยอทะยาน
ass,ตูด
assist,ช่วยเหลือ
attached,ที่แนบมา
attitude,ทัศนคติ
attract,ดึงดูด
attractive,มีเสน่ห์
attribute,คุณลักษณะ
attributes,คุณลักษณะ
authentication,การรับรองความถูกต้อง
authenticity,ความถูกต้อง
avalanche,หิมะถล่ม
average,เฉลี่ย
awe,ความกลัว
awful,แย่มาก
bare,เปลือย
bastard,ไอ้
bathroom,ห้องน้ำ
beautiful,สวย
before,ก่อน
bent,งอ
bland,อ่อนโยน
blasted,เสียหาย
bless you,อวยพรคุณ
blessed,มีความสุข
blind,ตาบอด
blood vessel,เส้นเลือด
blow,เป่า
bold,ตัวหนา
border,ชายแดน
bound,ผูกพัน
brace,รั้ง
branch,สาขา
brand pain,อาการปวดตราสินค้า
brass,ทองเหลือง
brat,เด็กเหลือขอ
breadth,ความกว้าง
bribe,สินบน
bride,เจ้าสาว
brief,รวบรัด
broader,กว้างขึ้น
brutal,โหดร้าย
bull,วัว
bundle,มัด
buoyant,ลอยตัว
burglar,ขโมย
bush,พุ่มไม้
bushwacker,ผู้เดินป่า
businessperson,นักธุรกิจ
button,ปุ่ม
by air,ทางอากาศ
camouflage,การพรางตัว
cannibalism,การกินเนื้อสัตว์
cannot sleep,นอนไม่หลับ
canvas,ผ้าใบ
capable,มีความสามารถ
car,รถ
casual,ไม่เป็นทางการ
casualty,ผู้เสียชีวิต
cat,แมว
category,หมวดหมู่
caterpillar,หนอน
catnip,หญ้าชนิดหนึ่ง
causal,เป็นสาเหตุ
cease,หยุด
celebrate,ฉลอง
ceremony,พิธี
certain,แน่ใจ
charging cable,สายชาร์จ
charisma,ความสามารถพิเศษ
charismatic,มีเสน่ห์
cheek,แก้ม
chill,เย็น
circuit,วงจร
cite,อ้างถึง
climate,ภูมิอากาศ
clock,นาฬิกา
closet,ตู้เสื้อผ้า
clutch,คลัตช์
cognitive,เกี่ยวกับความรู้ความเข้าใจ
coin,เหรียญ
coincidence,เหตุบังเอิญ
colleagues,เพื่อนร่วมงาน
collision,การชนกัน
column,คอลัมน์
come to trial,มาทดลองใช้
commit,ให้สัญญา
commitment,ความมุ่งมั่น
community,ชุมชน
compassion,ความเมตตากรุณา
competent,มีอำนาจ
complement,ส่วนประกอบ
compliment,ชมเชย
compose,แต่งเพลง
compound,สารประกอบ
comprehension,ความเข้าใจ
comprehensive,ครอบคลุม
comrade,สหาย
concave,เว้า
concern,กังวล
concerned,น่ากังวล
conclusion,บทสรุป
condensed,ย่อ
condition,เงื่อนไข
confused,สับสน
conqueror,ผู้พิชิต
consecutive,ติดต่อกัน
consensus,ฉันทามติ
conservative,ซึ่งอนุรักษ์นิยม
considerate,มีน้ำใจ
consistent,สม่ำเสมอ
consonants,พยัญชนะ
constraintss,ข้อ จำกัด
contaminated,ที่ปนเปื้อน
contiguous,ติดกัน
contradictory,ขัดแย้ง
contrast colors,สีตัดกัน
contribute,มีส่วนช่วย
contributed,มีส่วนร่วม
controversial,เป็นที่ถกเถียง
conventional wisdom,ภูมิปัญญาดั้งเดิม
converse,สนทนา
cooperate,ร่วมมือ
copy,สำเนา
corrupted,ทำให้เสียหาย
cost,ค่าใช้จ่าย
council,สภา
country,ประเทศ
cover,ปิดบัง
creak,เสียงดังเอี๊ยด
crest,ยอด
crew,ลูกทีม
cringe,หดหนี
crisis,วิกฤติ
criteria,เกณฑ์
criterion,เกณฑ์
cruel,โหดร้าย
crush,บดขยี้
crushing,การบดขยี้
cumbersome,ยุ่งยาก
cure,รักษา
cured,หาย
curiosity,ความอยากรู้
curtain,ม่าน
dandruff,รังแค
danduff,รังแก
debate,อภิปราย
debt,หนี้
deceive,หลอกลวง
decent,เหมาะสม
decorate,ตกแต่ง
decrypt,ถอดรหัส
dedicate,อุทิศ
deem,เห็นว่า
default,ค่าเริ่มต้น
deficit,การขาดดุล
deliberate,ไตร่ตรอง
delicate,ละเอียดอ่อน
delight,ความสุขใจ
demonstrated,ซึ่งแสดงให้เห็น
denial,การปฏิเสธ
denote,หมายถึง
dense,หนาแน่น
deprivation,การกีดกัน
derivatives,อนุพันธ์
desired,เป็นที่ต้องการ
despair,สิ้นหวัง
detach,รายละเอียด
deteriorating,ซึ่งเสื่อมโทรม
determined,มุ่งมั่น
developer,ผู้พัฒนา
deviation,การเบี่ยงเบน
devour,กลืน
diabolical,ไม่สม่ำเสมอ
diagnose,วินิจฉัย
diaphragm,กะบังลม
differ,แตกต่าง
digit,ตัวเลขหลัก
diminish,ลดน้อยลง
discard,ทิ้ง
discipline,การลงโทษ
dislocate,แยกออกจากกัน
disruption,การหยุดชะงัก
distinct,แตกต่าง
distinguish,แยกแยะ
distribution,การกระจาย
district,เขต
ditch,คูน้ำ
diverse,มีความหลากหลาย
dog,สุนัข
domestic,ภายในประเทศ
dominant,ที่เด่น
dominate,ครอบงำ
door knob,ลูกบิดประตู
doorknob,ลูกบิดประตู
draft,ร่าง
dream,ฝัน
dream partner,หุ้นส่วนในฝัน
drop,หยด
drop something,วางบางสิ่งบางอย่าง
due,เนื่องจาก
dull,น่าเบื่อ
dyed hair,ผมย้อม
eager,กระตือรือร้น
elaborate,ขยายความ
elation,ความอิ่มเอมใจ
electric shock,ไฟฟ้าช็อต
elegant,สง่างาม
ellipse,วงรี
embarrassed,เขินอาย
embarrassing,น่าอาย
embrace,โอบกอด
emerge,เกิดขึ้น
emigrate,อพยพ
empathy,ความเข้าอกเข้าใจ
emphasize,เน้นย้ำ
empower,มอบอำนาจ
encourage,ให้กำลังใจ
encryption,การเข้ารหัส
end,จบ
engage,หมั้น
engagement,การว่าจ้าง
enhance,ยกระดับ
ensure,ทำให้มั่นใจ
enter the country,เข้าประเทศ
entertainment,ความบันเทิง
entire,ทั้งหมด
epicenter,ศูนย์กลาง
epoch,ยุค
essentialism,ความสำคัญ
establish,สร้าง
esteem,ความนับถือ
eternity,นิรันดร์
ethics,จริยธรรม
ethincity,เชื้อชาติ
ethnicity,เชื้อชาติ
exaggerate,พูดเกินจริง
exceed,เกิน
exciting,น่าตื่นเต้น
exclusive,พิเศษ
executed,ประหารชีวิต
exploit,ใช้ประโยชน์
extract,สารสกัด
extracted,สกัด
extravagant,ฟุ่มเฟือย
faculty,คณะ
fade,จางลง
faint,เป็นลม
faith,ศรัทธา
fall asleep,หลับไป
false,เท็จ
fascinating,น่าหลงใหล
fatigue,ความเหนื่อยล้า
favor,ความโปรดปราน
feast,งานเลี้ยง
feature,คุณสมบัติ
fertile,อุดมสมบูรณ์
figure,รูป
find information,ค้นหาข้อมูล
fitting,การพอดี
flaw,ข้อบกพร่อง
flex,งอ
flick,สะบัด
float,ลอย
flush,ฟลัช
fold,พับ
forensic,นิวเคลียส
fort,ป้อมปราการ
foul,เหม็น
foundation,พื้นฐาน
frame,กรอบ
framework,กรอบ
from,จาก
frustrate,ทำลาย
fulfill,เติมเต็ม
funny,ตลก
fuss,เอะอะ
gain,ได้รับ
gambling,การพนัน
gather,รวมตัว
gekkos,คลั่งไคล้
genius,อัจฉริยะ
gentle,อ่อนโยน
genuine,แท้จริง
gesture,ท่าทาง
gibsonize,ทำให้เสียโฉม
give up,ยอมแพ้
global,ทั่วโลก
gorgeous,งดงาม
grain,ข้าว
grapefruit,ส้มโอ
grasp,เข้าใจ
gratificai,มีความสุข
greedy,โลภ
green,สีเขียว
green pepper,พริกเขียว
grieve,เสียใจ
group,กลุ่ม
gullible,ใจง่าย
gurgle,กระวนกระวายใจ
gut,ลำไส้
habitat,ที่อยู่อาศัย
handicapping,แต้มต่อ
hapazardly,ส่งเดช
haphazard,จับจด
harsh,รุนแรง
harvesting,การเก็บเกี่ยว
hat off,ปิดหมวก
hazardous,เป็นอันตราย
healthy,สุขภาพดี
height,ความสูง
hence,เพราะฉะนั้น
hesitate,ลังเล
hey,เฮ้
hierarchical,เกี่ยวกับลำดับชั้น
hierarchy,ลำดับชั้น
hiss,ฟ่อ
hold,ถือ
honest,ซื่อสัตย์
hopelessness,ความสิ้นหวัง
hos,กับ
hospitable,ใจดี
hospitality,การต้อนรับ
host,เจ้าภาพ
hostile,เป็นศัตรูกัน
howling,เสียงโหยหวน
humor,อารมณ์ขัน
hunched,เลี้ยว
ideal,ในอุดมคติ
idiot,งี่เง่า
immature,ยังไม่บรรลุนิติภาวะ
immigration,การตรวจคนเข้าเมือง
immigrte,อพยพ
impressed,น่าสยดสยอง
impressive,ประทับใจ
impulse,แรงกระตุ้น
in spite,ทั้งๆ
in the,ใน
incident,เหตุการณ์
include,รวม
inclusive,ซึ่งครอบคลุม
incorporate,รวม
independent,เป็นอิสระ
indicate,ระบุ
indigo,คราม
indulgent,ตามใจ
industry,อุตสาหกรรม
inevitable,หลีกเลี่ยงไม่ได้
influence,อิทธิพล
information data,ข้อมูลข้อมูล
inhabit,อาศัยอยู่
inheritance,มรดก
injury,บาดเจ็บ
innambiguous,มีน้ำใจ
insomnia,นอนไม่หลับ
inspect,ตรวจสอบ
instance,ตัวอย่าง
institute,สถาบัน
institution,สถาบัน
integration,การรวมเข้าด้วยกัน
intensity,ความรุนแรง
intention,เจตนา
interfere,รบกวน
intermittent,ไม่สม่ำเสมอ
